Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"90K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/206"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.4013	1.2692		
0.4007	1.2692		
0.4002	1.2693		
0.3996	1.2693		
0.399	1.2693		
0.3985	1.2694		
0.3979	1.2694		
0.3974	1.2695		
0.3968	1.2695		
0.3962	1.2696		
0.3957	1.2696		
0.3951	1.2697		
0.3945	1.2697		
0.394	1.2698		
0.3934	1.2698		
0.3929	1.2699		
0.3923	1.2699		
0.3917	1.2699		
0.3912	1.27		
0.3906	1.27		
0.3901	1.2701		
0.3895	1.2701		
0.3889	1.2702		
0.3884	1.2702		
0.3878	1.2703		
0.3872	1.2703		
0.3867	1.2704		
0.3861	1.2704		
0.3856	1.2705		
0.385	1.2705		
0.3844	1.2706		
0.3839	1.2706		
0.3833	1.2707		
0.3828	1.2707		
0.3822	1.2708		
0.3816	1.2708		
0.3811	1.2709		
0.3805	1.2709		
0.3799	1.271		
0.3794	1.271		
0.3788	1.2711		
0.3783	1.2712		
0.3777	1.2712		
0.3771	1.2713		
0.3766	1.2713		
0.376	1.2714		
0.3754	1.2714		
0.3749	1.2715		
0.3743	1.2715		
0.3738	1.2716		
0.3732	1.2716		
0.3726	1.2717		
0.3721	1.2718		
0.3715	1.2718		
0.371	1.2719		
0.3704	1.2719		
0.3698	1.272		
0.3693	1.272		
0.3687	1.2721		
0.3681	1.2722		
0.3676	1.2722		
0.367	1.2723		
0.3665	1.2723		
0.3659	1.2724		
0.3653	1.2724		
0.3648	1.2725		
0.3642	1.2726		
0.3636	1.2726		
0.3631	1.2727		
0.3625	1.2728		
0.362	1.2728		
0.3614	1.2729		
0.3608	1.2729		
0.3603	1.273		
0.3597	1.2731		
0.3592	1.2731		
0.3586	1.2732		
0.358	1.2733		
0.3575	1.2733		
0.3569	1.2734		
0.3563	1.2735		
0.3558	1.2735		
0.3552	1.2736		
