Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/66"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
592.4106	-0.00222		
592.5312	-0.0018		
592.6517	-0.00135		
592.7722	-0.000877		
592.8928	-0.000437		
593.0133	-6.3E-5		
593.1338	0.000219		
593.2544	0.000408		
593.3749	0.000525		
593.4954	0.000605		
593.616	0.000682		
593.7365	0.000773		
593.857	0.00087		
593.9776	0.000941		
594.0981	0.000948		
594.2186	0.00086		
594.3391	0.000675		
594.4597	0.000425		
594.5802	0.000173		
594.7007	-9.0E-6		
594.8213	-5.5E-5		
594.9418	6.6E-5		
595.0623	0.000338		
595.1829	0.0007		
595.3034	0.00106		
595.4239	0.00132		
595.5445	0.0014		
595.665	0.00126		
595.7855	0.000911		
595.906	0.000413		
596.0266	-0.000154		
596.1471	-0.000705		
596.2676	-0.00117		
596.3882	-0.00152		
596.5087	-0.00175		
596.6292	-0.00186		
596.7498	-0.00189		
596.8703	-0.00185		
596.9908	-0.00177		
597.1114	-0.00163		
597.2319	-0.00147		
597.3524	-0.00131		
597.473	-0.00116		
597.5935	-0.00107		
597.714	-0.00105		
597.8345	-0.0011		
597.9551	-0.0012		
598.0756	-0.00129		
598.1961	-0.00133		
598.3167	-0.00127		
598.4372	-0.0011		
598.5577	-0.000825		
598.6783	-0.000491		
598.7988	-0.000141		
598.9193	0.000179		
599.0399	0.000437		
599.1604	0.000614		
599.2809	0.000707		
599.4015	0.000717		
599.522	0.000652		
599.6425	0.00052		
599.763	0.000334		
599.8836	0.000113		
600.0041	-0.000116		
600.1246	-0.00032		
600.2452	-0.000472		
600.3657	-0.000556		
600.4862	-0.000572		
600.6068	-0.000536		
600.7273	-0.000477		
600.8478	-0.000426		
600.9684	-0.000409		
601.0889	-0.000443		
601.2094	-0.000533		
601.33	-0.000674		
601.4505	-0.000852		
601.571	-0.00105		
601.6915	-0.00125		
601.8121	-0.00142		
601.9326	-0.00154		
602.0531	-0.00157		
602.1737	-0.00148		
602.2942	-0.00126		
602.4147	-0.000883		
602.5353	-0.000382		
602.6558	0.000204		
602.7763	0.000811		
602.8969	0.00136		
603.0174	0.00177		
603.1379	0.00199		
603.2584	0.00196		
603.379	0.0017		
603.4995	0.00125		
603.62	0.000669		
603.7406	5.1E-5		
603.8611	-0.000523		
603.9816	-0.000987		
604.1022	-0.0013		
604.2227	-0.00147		
604.3432	-0.00149		
604.4638	-0.00142		
604.5843	-0.00127		
604.7048	-0.00108		
604.8254	-0.000879		
604.9459	-0.000693		
605.0664	-0.000545		
605.1869	-0.000457		
605.3075	-0.000446		
605.428	-0.000516		
605.5485	-0.000656		
605.6691	-0.000838		
605.7896	-0.00103		
605.9101	-0.00119		
606.0307	-0.0013		
606.1512	-0.00134		
606.2717	-0.00134		
606.3923	-0.00132		
606.5128	-0.00129		
606.6333	-0.00126		
606.7539	-0.00124		
606.8744	-0.00121		
606.9949	-0.00117		
607.1154	-0.0011		
607.236	-0.00103		
607.3565	-0.00095		
607.477	-0.000883		
607.5976	-0.000831		
607.7181	-0.000786		
607.8386	-0.000734		
607.9592	-0.000659		
608.0797	-0.000557		
608.2002	-0.000438		
608.3208	-0.000326		
608.4413	-0.000248		
608.5618	-0.000222		
608.6824	-0.000247		
608.8029	-0.000296		
608.9234	-0.000328		
609.0439	-0.000296		
609.1645	-0.00017		
609.285	5.8E-5		
609.4055	0.000365		
609.5261	0.000705		
609.6466	0.00103		
609.7671	0.00129		
609.8877	0.00146		
610.0082	0.00156		
610.1287	0.00158		
610.2493	0.00156		
610.3698	0.00152		
610.4903	0.00147		
610.6109	0.00141		
610.7314	0.00134		
610.8519	0.00126		
610.9724	0.00116		
611.093	0.00105		
611.2135	0.000945		
611.334	0.000853		
611.4546	0.000773		
611.5751	0.000696		
611.6956	0.000603		
611.8162	0.000476		
611.9367	0.000303		
612.0572	8.7E-5		
612.1778	-0.00016		
612.2983	-0.000415		
612.4188	-0.000653		
612.5393	-0.000854		
612.6599	-0.00101		
612.7804	-0.00112		
612.9009	-0.0012		
613.0215	-0.00126		
613.142	-0.00131		
613.2625	-0.00135		
613.3831	-0.0014		
613.5036	-0.00145		
613.6241	-0.00151		
613.7447	-0.00158		
613.8652	-0.00166		
613.9857	-0.00173		
614.1063	-0.00177		
614.2268	-0.00176		
614.3473	-0.00169		
614.4678	-0.00155		
614.5884	-0.00134		
614.7089	-0.00108		
614.8294	-0.000813		
614.95	-0.000559		
615.0705	-0.00034		
615.191	-0.00016		
615.3116	-1.6E-5		
615.4321	0.0001		
615.5526	0.000192		
615.6732	0.000255		
615.7937	0.000278		
615.9142	0.000248		
616.0348	0.000156		
616.1553	-2.0E-6		
616.2758	-0.000217		
616.3963	-0.000479		
616.5169	-0.000773		
616.6374	-0.00109		
616.7579	-0.00141		
616.8785	-0.00174		
