Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:N2:CO2 (0.66:0.16:0.066:0.065:0.049)"
Temperature:	"400K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/76"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.10% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.43% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 4.10% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
25.8936526	1.6380724	3.545932654		25.8936526	0.067355834	1.992702858		25.8936526	0.966693362		0.849061098		0.152301757			9072.931469715	0.066685584		0.062345485		
25.8613663	1.638007	3.546013974		25.8613663	0.067398049	1.956167475		25.8613663	0.96662664		0.849095288		0.151239764			9073.895751941	0.066678464		0.062351318		
25.8291603	1.6379865	3.546093548		25.8291603	0.067346211	1.904331154		25.8291603	0.96655171		0.849261259		0.151121532			9074.860034168	0.066671473		0.062356893		
25.7970345	1.6380564	3.546171442		25.7970345	0.067267621	1.859150023		25.7970345	0.966476538		0.849397782		0.151385106			9075.824316394	0.066664618		0.06236218		
25.7649885	1.6382072	3.546248156		25.7649885	0.067232876	1.838093101		25.7649885	0.966408969		0.849338277		0.151439662			9076.788598621	0.06665792		0.062367231		
25.733022	1.6383913	3.546324402		25.733022	0.067286218	1.849393167		25.733022	0.966355797		0.848994369		0.150866534			9077.752880847	0.066651415		0.062372156		
25.7011348	1.6385459	3.546400665		25.7011348	0.067435565	1.892174339		25.7011348	0.966320588		0.848406533		0.149470542			9078.717163074	0.066645102		0.062377077		
25.6693264	1.6386134	3.546477163		25.6693264	0.067650776	1.953680187		25.6693264	0.966300724		0.847731746		0.147352248			9079.681445301	0.066638914		0.062382086		
25.6375967	1.6385607	3.546553476		25.6375967	0.06786979	2.011543286		25.6375967	0.966288477		0.847154598		0.144977289			9080.645727527	0.066632736		0.06238724		
25.6059454	1.6383985	3.546628738		25.6059454	0.068015084	2.04936302		25.6059454	0.966277288		0.846774632		0.143112781			9081.610009754	0.066626475		0.062392569		
25.5743721	1.6381881	3.546702429		25.5743721	0.068024317	2.068202575		25.5743721	0.966266595		0.846569572		0.142497759			9082.57429198	0.066620125		0.062398097		
25.5428765	1.6380231	3.546774502		25.5428765	0.067889715	2.078714086		25.5428765	0.966259053		0.84645923		0.143337677			9083.538574207	0.066613765		0.062403849		
25.5114585	1.6379799	3.546845429		25.5114585	0.067672893	2.085912044		25.5114585	0.966253424		0.846391595		0.145049755			9084.502856433	0.066607488		0.062409835		
25.4801176	1.6380732	3.546915864		25.4801176	0.067471798	2.084649063		25.4801176	0.966242051		0.846366591		0.146566806			9085.46713866	0.066601324		0.062416027		
25.4488537	1.6382506	3.546986054		25.4488537	0.067363364	2.068885751		25.4488537	0.96621631		0.84639016		0.147021671			9086.431420886	0.066595212		0.062422356		
25.4176664	1.6384287	3.547056118		25.4176664	0.067362953	2.041477908		25.4176664	0.96617324		0.846430241		0.146301051			9087.395703113	0.066589051		0.062428723		
25.3865554	1.6385452	3.547126218		25.3865554	0.067424704	2.01089536		25.3865554	0.966114933		0.846435822		0.145032274			9088.35998534	0.066582785		0.062435046		
25.3555205	1.6385916	3.547196304		25.3555205	0.067479587	1.980401946		25.3555205	0.96604202		0.846390574		0.144054567			9089.324267566	0.066576444		0.062441303		
25.3245614	1.6386071	3.547266073		25.3245614	0.067483255	1.945161425		25.3245614	0.965950513		0.8463268		0.143849018			9090.288549793	0.066570118		0.062447549		
25.2936778	1.6386315	3.547334997		25.2936778	0.067442512	1.900544068		25.2936778	0.965836158		0.846278516		0.144304157			9091.252832019	0.066563891		0.062453898		
25.2628694	1.6387159	3.547402393		25.2628694	0.067356862	1.877444004		25.2628694	0.965769981		0.846237929		0.144915062			9092.217114246	0.066557788		0.062460459		
25.232136	1.6388485	3.547468155		25.232136	0.067333556	1.836624265		25.232136	0.965649685		0.846171175		0.145249528			9093.181396472	0.066551783		0.062467285		
25.2014772	1.6389559	3.547532837		25.2014772	0.067346607	1.801459219		25.2014772	0.965526172		0.846060646		0.145260397			9094.145678699	0.06654585		0.062474346		
25.1708929	1.6390878	3.547597305		25.1708929	0.06731409	1.804360241		25.1708929	0.965498906		0.84591303		0.14515573			9095.109960926	0.066540002		0.062481549		
25.1403827	1.6392399	3.54766241		25.1403827	0.067369087	1.768370854		25.1403827	0.965346724		0.845730153		0.145018997			9096.074243152	0.066534287		0.062488784		
25.1099464	1.6393781	3.547728386		25.1099464	0.067424833	1.75435323		25.1099464	0.965243149		0.84548931		0.144614933			9097.038525379	0.066528744		0.062495965		
25.0795837	1.6395125	3.547794796		25.0795837	0.067544663	1.747114672		25.0795837	0.965139308		0.84515851		0.143623135			9098.002807605	0.066523361		0.062503032		
25.0492944	1.6395889	3.547860675		25.0492944	0.067729272	1.746934031		25.0492944	0.965035369		0.844726786		0.142063726			9098.967089832	0.066518078		0.062509931		
25.0190781	1.6393919	3.547925137		25.0190781	0.067995125	1.724489297		25.0190781	0.964831455		0.844217894		0.140446179			9099.931372058	0.066512823		0.062516599		
24.9889346	1.6392272	3.547987962		24.9889346	0.067691862	1.857543406		24.9889346	0.96527651		0.844367567		0.139497587			9100.895654285	0.066507563		0.062522964		
24.9588637	1.6394831	3.548049397		24.9588637	0.067484021	1.769365336		24.9588637	0.965240584		0.845255608		0.139626559			9101.859936511	0.066502323		0.062528997		
24.9288651	1.6395859	3.548109841		24.9288651	0.067738319	1.711879934		24.9288651	0.964811289		0.844341235		0.140506259			9102.824218738	0.066497165		0.06253475		
24.8989385	1.6396311	3.548169534		24.8989385	0.067520038	1.656068648		24.8989385	0.964718044		0.845167738		0.141291658			9103.788500965	0.066492142		0.062540374		
24.8690836	1.6399621	3.54822847		24.8690836	0.067540796	1.644564435		24.8690836	0.964584431		0.845030365		0.141331162			9104.752783191	0.066487261		0.062546079		
24.8393003	1.6400757	3.548286927		24.8393003	0.067905013	1.638278207		24.8393003	0.964241421		0.843952121		0.140592406			9105.717065418	0.066482469		0.062552055		
24.8095882	1.6399539	3.54834557		24.8095882	0.067988603	1.633681354		24.8095882	0.964132144		0.843934518		0.139508005			9106.681347644	0.066477664		0.0625584		
24.7799471	1.639947	3.548404862		24.7799471	0.067898903	1.640070711		24.7799471	0.96426946		0.84395905		0.138572711			9107.645629871	0.066472743		0.062565092		
24.7503768	1.6401685	3.548464519		24.7503768	0.067825663	1.643703981		24.7503768	0.964325585		0.844008049		0.13799487			9108.609912097	0.066467638		0.062572027		
24.7208769	1.6402961	3.548523561		24.7208769	0.068130653	1.642785842		24.7208769	0.963812652		0.84379461		0.137620622			9109.574194324	0.066462356		0.062579092		
24.6914473	1.6402663	3.548581148		24.6914473	0.06820563	1.724489462		24.6914473	0.963482294		0.844378318		0.13716831			9110.538476551	0.066456987		0.062586213		
24.6620877	1.6401805	3.548637248		24.6620877	0.068352503	1.74180097		24.6620877	0.96331243		0.843963672		0.136502589			9111.502758777	0.066451674		0.062593371		
24.6327978	1.6401765	3.548692555		24.6327978	0.068174861	1.68912532		24.6327978	0.963558178		0.844063109		0.135688958			9112.467041004	0.066446554		0.062600556		
24.6035774	1.6403641	3.548748054		24.6035774	0.068209884	1.805261065		24.6035774	0.963310729		0.844800044		0.134845669			9113.43132323	0.06644171		0.062607728		
24.5744263	1.6404531	3.548804051		24.5744263	0.068378298	1.780289951		24.5744263	0.963209424		0.844089804		0.133972967			9114.395605457	0.06643714		0.062614815		
24.5453441	1.6404245	3.54886011		24.5453441	0.068479371	1.816084671		24.5453441	0.963082183		0.844025765		0.132932716			9115.359887683	0.066432783		0.062621752		
24.5163307	1.6405131	3.548915786		24.5163307	0.068419499	1.879230383		24.5163307	0.963075118		0.844699433		0.131611029			9116.32416991	0.066428564		0.062628535		
24.4873858	1.6406624	3.548970823		24.4873858	0.06861843	1.858680593		24.4873858	0.962985115		0.84413328		0.130100502			9117.288452137	0.066424435		0.062635243		
24.4585091	1.6406465	3.549025479		24.4585091	0.068852687	1.838258153		24.4585091	0.962859693		0.843417104		0.128704637			9118.252734363	0.066420382		0.062641995		
24.4297005	1.640572	3.549080127		24.4297005	0.068992359	2.005100101		24.4297005	0.962544223		0.843822646		0.127762345			9119.21701659	0.066416401		0.062648877		
24.4009597	1.6403646	3.549134739		24.4009597	0.069197107	1.937346754		24.4009597	0.962410401		0.842667437		0.127464304			9120.181298816	0.066412468		0.062655895		
24.3722864	1.6401707	3.54918895		24.3722864	0.069044898	1.988214595		24.3722864	0.962384257		0.843037355		0.127795791			9121.145581043	0.066408533		0.062662978		
24.3436805	1.640082	3.549242192		24.3436805	0.069004453	2.236539049		24.3436805	0.962036321		0.843698173		0.128591005			9122.109863269	0.066404541		0.062670046		
24.3151416	1.6400081	3.549294246		24.3151416	0.068810204	2.153732527		24.3151416	0.962134195		0.843432112		0.129608302			9123.074145496	0.066400465		0.062677063		
24.2866695	1.640145	3.549345406		24.2866695	0.068575365	2.112374743		24.2866695	0.962232222		0.843477346		0.130566311			9124.038427722	0.066396319		0.062684049		
24.258264	1.6402116	3.54939622		24.258264	0.068632451	2.18548732		24.258264	0.962002825		0.843149365		0.131153898			9125.002709949	0.066392158		0.062691042		
24.229925	1.6404359	3.549447113		24.229925	0.068250418	1.911174233		24.229925	0.962553985		0.842955348		0.131078313			9125.966992176	0.06638805		0.062698043		
24.201652	1.6408579	3.549498037		24.201652	0.068431357	1.953478014		24.201652	0.962355226		0.842582912		0.130162387			9126.931274402	0.066384049		0.062705004		
24.1734449	1.6410309	3.549548686		24.1734449	0.068666091	2.128363044		24.1734449	0.962035598		0.842852451		0.128411643			9127.895556629	0.06638019		0.062711863		
24.1453036	1.6411692	3.549598721		24.1453036	0.068812902	1.99235451		24.1453036	0.962173562		0.842255748		0.126019784			9128.859838855	0.066376483		0.062718606		
24.1172276	1.6413001	3.549648006		24.1172276	0.069087121	1.933606416		24.1172276	0.962153534		0.84164355		0.123368609			9129.824121082	0.066372922		0.062725288		
24.0892169	1.6412541	3.549696815		24.0892169	0.069426855	1.998919487		24.0892169	0.961913455		0.841329078		0.121013354			9130.788403308	0.066369497		0.062732001		
