Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/68"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
1390.6885	0.00373		0.00489		0.01437		0.02832		0.05049		
1390.8091	0.00374		0.00491		0.01442		0.02844		0.05062		
1390.9296	0.00374		0.00493		0.01447		0.02855		0.05075		
1391.0501	0.00375		0.00494		0.01451		0.02866		0.05087		
1391.1707	0.00375		0.00496		0.01455		0.02877		0.05098		
1391.2912	0.00375		0.00497		0.01459		0.02889		0.0511		
1391.4117	0.00375		0.00499		0.01464		0.02902		0.05123		
1391.5323	0.00376		0.00502		0.01471		0.02915		0.05138		
1391.6528	0.00377		0.00506		0.01478		0.02929		0.05152		
1391.7733	0.00378		0.00509		0.01485		0.02942		0.05167		
1391.8939	0.00378		0.00512		0.01492		0.02956		0.0518		
1392.0144	0.00379		0.00514		0.01499		0.02969		0.05193		
1392.1349	0.00379		0.00515		0.01505		0.02982		0.05205		
1392.2554	0.00379		0.00515		0.01511		0.02995		0.05217		
1392.376	0.0038		0.00516		0.01516		0.03008		0.05229		
1392.4965	0.0038		0.00518		0.01522		0.03021		0.05243		
1392.617	0.00382		0.0052		0.01528		0.03035		0.05258		
1392.7376	0.00383		0.00523		0.01535		0.03048		0.05275		
1392.8581	0.00386		0.00526		0.01541		0.03061		0.05291		
1392.9786	0.00388		0.00528		0.01547		0.03073		0.05307		
1393.0992	0.0039		0.0053		0.01552		0.03085		0.05321		
1393.2197	0.00391		0.0053		0.01557		0.03096		0.05335		
1393.3402	0.00391		0.0053		0.01563		0.03108		0.05348		
1393.4608	0.00391		0.0053		0.01569		0.0312		0.05361		
1393.5813	0.00391		0.0053		0.01576		0.03132		0.05375		
1393.7018	0.0039		0.00531		0.01584		0.03146		0.05389		
1393.8224	0.0039		0.00533		0.01593		0.03159		0.05404		
1393.9429	0.00389		0.00536		0.01602		0.03173		0.05417		
1394.0634	0.00389		0.00538		0.01609		0.03186		0.05429		
1394.1839	0.00388		0.0054		0.01616		0.03199		0.05441		
1394.3045	0.00387		0.00542		0.01622		0.03212		0.05452		
1394.425	0.00387		0.00544		0.01627		0.03226		0.05465		
1394.5455	0.00387		0.00546		0.01632		0.0324		0.05479		
1394.6661	0.00388		0.00549		0.01638		0.03254		0.05496		
1394.7866	0.00389		0.00552		0.01645		0.0327		0.05516		
1394.9071	0.00391		0.00556		0.01652		0.03286		0.05536		
