Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/65"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
564.0858	0.00359		
564.2064	0.00327		
564.3269	0.00297		
564.4474	0.00272		
564.5679	0.00254		
564.6885	0.00241		
564.809	0.00231		
564.9295	0.00221		
565.0501	0.00207		
565.1706	0.00187		
565.2911	0.00162		
565.4117	0.00134		
565.5322	0.00108		
565.6527	0.000872		
565.7733	0.000754		
565.8938	0.000744		
566.0143	0.000839		
566.1349	0.00101		
566.2554	0.00121		
566.3759	0.00138		
566.4964	0.00146		
566.617	0.00142		
566.7375	0.00125		
566.858	0.000986		
566.9786	0.000697		
567.0991	0.000458		
567.2196	0.000333		
567.3402	0.00036		
567.4607	0.000536		
567.5812	0.000826		
567.7018	0.00118		
567.8223	0.00158		
567.9428	0.00199		
568.0634	0.00245		
568.1839	0.00298		
568.3044	0.00358		
568.4249	0.00422		
568.5455	0.00481		
568.666	0.00525		
568.7865	0.00542		
568.9071	0.0053		
569.0276	0.0049		
569.1481	0.00433		
569.2687	0.00372		
569.3892	0.00322		
569.5097	0.00289		
569.6303	0.00275		
569.7508	0.00271		
569.8713	0.0027		
569.9918	0.00262		
570.1124	0.00245		
570.2329	0.00218		
570.3534	0.00189		
570.474	0.00162		
570.5945	0.00142		
570.715	0.00128		
570.8356	0.00118		
570.9561	0.00108		
571.0766	0.000969		
571.1972	0.000866		
571.3177	0.000798		
571.4382	0.00079		
571.5588	0.000839		
571.6793	0.000904		
571.7998	0.000925		
571.9203	0.000853		
572.0409	0.000674		
572.1614	0.000431		
572.2819	0.00021		
572.4025	0.000108		
572.523	0.000192		
572.6435	0.000468		
572.7641	0.000875		
572.8846	0.00131		
573.0051	0.00165		
573.1257	0.00181		
573.2462	0.00176		
573.3667	0.00151		
573.4873	0.00112		
573.6078	0.000647		
573.7283	0.000141		
573.8488	-0.000353		
573.9694	-0.000801		
574.0899	-0.00117		
574.2104	-0.00143		
574.331	-0.00155		
574.4515	-0.00151		
574.572	-0.00136		
574.6926	-0.00113		
574.8131	-0.000887		
574.9336	-0.000699		
575.0542	-0.00059		
575.1747	-0.00055		
575.2952	-0.000542		
575.4158	-0.000525		
575.5363	-0.000476		
575.6568	-0.000402		
575.7773	-0.000339		
575.8979	-0.000326		
576.0184	-0.000391		
576.1389	-0.000529		
576.2595	-0.000715		
576.38	-0.000912		
576.5005	-0.0011		
576.6211	-0.00129		
576.7416	-0.00151		
576.8621	-0.00178		
576.9827	-0.00213		
577.1032	-0.00253		
577.2237	-0.00292		
577.3442	-0.00321		
577.4648	-0.00334		
577.5853	-0.00328		
577.7058	-0.00306		
577.8264	-0.00271		
577.9469	-0.00231		
578.0674	-0.00191		
578.188	-0.00153		
578.3085	-0.00118		
578.429	-0.000847		
578.5496	-0.000513		
578.6701	-0.00019		
578.7906	9.9E-5		
578.9112	0.000334		
579.0317	0.000506		
579.1522	0.000633		
579.2727	0.000744		
579.3933	0.000874		
579.5138	0.00104		
579.6343	0.00123		
579.7549	0.00141		
579.8754	0.00157		
579.9959	0.00168		
580.1165	0.00174		
580.237	0.0018		
580.3575	0.00187		
580.4781	0.00196		
580.5986	0.00207		
580.7191	0.00214		
580.8397	0.0021		
580.9602	0.0019		
581.0807	0.00155		
581.2012	0.00107		
581.3218	0.000536		
581.4423	3.7E-5		
581.5628	-0.000351		
581.6834	-0.00058		
581.8039	-0.000643		
581.9244	-0.000566		
582.045	-0.000398		
582.1655	-0.00019		
582.286	1.4E-5		
582.4066	0.000185		
582.5271	0.00031		
582.6476	0.000394		
582.7682	0.000451		
582.8887	0.000504		
583.0092	0.000579		
583.1297	0.000693		
583.2503	0.000851		
583.3708	0.00104		
583.4913	0.00125		
583.6119	0.00144		
583.7324	0.00159		
583.8529	0.00171		
583.9735	0.00181		
584.094	0.00191		
584.2145	0.00204		
584.3351	0.0022		
584.4556	0.00238		
584.5761	0.00256		
584.6967	0.00268		
584.8172	0.00273		
584.9377	0.00268		
585.0582	0.00255		
585.1788	0.00235		
585.2993	0.00211		
585.4198	0.00183		
585.5404	0.00154		
585.6609	0.00122		
585.7814	0.000876		
585.902	0.000539		
586.0225	0.000234		
586.143	-1.2E-5		
586.2636	-0.000185		
586.3841	-0.000299		
586.5046	-0.000389		
586.6251	-0.000501		
586.7457	-0.000671		
586.8662	-0.00091		
586.9867	-0.00119		
587.1073	-0.00146		
587.2278	-0.00166		
