Reference:	"Hudson & Gerakines (2019)"
DOI:	"doi:doi:10.1093/mnras/sty2821"
Sample Type:	"Ice"
Composition:	"C3H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/157"
n₁ Error Units:	Not Applicable
n₂ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"n₂"	"Dn₂  (+/-)"	
656.413	1.477		0.033143		
656.654	1.4773		0.033669		
656.895	1.4775		0.034173		
657.136	1.4777		0.034647		
657.377	1.4781		0.035104		
657.618	1.4785		0.035584		
657.859	1.479		0.036146		
658.1	1.4795		0.036836		
658.341	1.48		0.037675		
658.582	1.4804		0.038638		
658.823	1.4806		0.039667		
659.064	1.4807		0.040683		
659.305	1.4807		0.041625		
659.546	1.4806		0.042466		
659.788	1.4805		0.04322		
660.029	1.4805		0.043925		
660.27	1.4804		0.044625		
660.511	1.4804		0.045334		
660.752	1.4803		0.046041		
660.993	1.4802		0.046713		
661.234	1.4801		0.047314		
661.475	1.48		0.047836		
661.716	1.48		0.048309		
661.957	1.48		0.048795		
662.198	1.4802		0.049363		
662.439	1.4804		0.05006		
662.68	1.4805		0.050891		
662.921	1.4806		0.051811		
663.162	1.4804		0.052747		
663.403	1.4801		0.053621		
663.645	1.4798		0.054377		
663.886	1.4794		0.055002		
664.127	1.479		0.055519		
664.368	1.4787		0.055974		
664.609	1.4785		0.056418		
664.85	1.4784		0.05689		
665.091	1.4782		0.057399		
665.332	1.478		0.057939		
665.573	1.4778		0.058483		
665.814	1.4775		0.059002		
666.055	1.4773		0.059469		
666.296	1.477		0.059866		
666.537	1.4767		0.060192		
666.778	1.4765		0.060462		
667.019	1.4764		0.060713		
667.26	1.4765		0.061004		
667.502	1.4766		0.061391		
667.743	1.4767		0.061923		
667.984	1.4768		0.062616		
668.225	1.4768		0.06344		
668.466	1.4766		0.064326		
668.707	1.4762		0.065174		
668.948	1.4756		0.065888		
669.189	1.4749		0.066392		
669.43	1.4742		0.066666		
669.671	1.4736		0.066741		
669.912	1.4732		0.0667		
670.153	1.4731		0.066634		
670.394	1.4731		0.066633		
670.635	1.4732		0.066765		
670.876	1.4734		0.067057		
671.117	1.4736		0.067506		
671.359	1.4737		0.068085		
671.6	1.4737		0.068754		
671.841	1.4735		0.069466		
672.082	1.4733		0.070176		
672.323	1.4729		0.070837		
672.564	1.4724		0.071409		
672.805	1.4719		0.071863		
673.046	1.4713		0.072188		
673.287	1.4708		0.072398		
673.528	1.4704		0.072524		
673.769	1.4701		0.072607		
674.01	1.4698		0.072689		
674.251	1.4697		0.072806		
674.492	1.4696		0.072979		
674.733	1.4695		0.073213		
674.974	1.4694		0.073506		
675.216	1.4692		0.073849		
675.457	1.4691		0.074226		
675.698	1.4688		0.074609		
675.939	1.4684		0.074959		
676.18	1.468		0.075231		
676.421	1.4675		0.075382		
676.662	1.467		0.075381		
