Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:CO2:N2:H2 (0.56:0.147:0.11:0.1:0.064:0.019)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/75"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.08% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.38% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 1.90% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
25.1099464	1.6428323	3.78081945	0.083271553	1.418767262		25.1099464	0.96101658		0.850919059		0.368042421			9097.038525379	0.072017725		0.074002009		
25.0795837	1.6428407	3.780866493	0.083318674	1.451693658		25.0795837	0.960954081		0.850917054		0.366759009			9098.002807605	0.07199823		0.07401643		
25.0492944	1.642839	3.780913201	0.083397097	1.472942028		25.0492944	0.960895047		0.850711548		0.365549331			9098.967089832	0.071978671		0.074030793		
25.0190781	1.6428028	3.780959617	0.083476125	1.48711693		25.0190781	0.960880813		0.850299918		0.364438056			9099.931372058	0.071959211		0.074045133		
24.9889346	1.6427643	3.781005742	0.083513679	1.504140738		24.9889346	0.960946798		0.849762177		0.363446108			9100.895654285	0.071939956		0.074059494		
24.9588637	1.642742	3.781051518	0.083560879	1.514184737		24.9588637	0.960970808		0.849269369		0.362593184			9101.859936511	0.071920928		0.074073933		
24.9288651	1.6426925	3.781096857	0.083622782	1.516957781		24.9288651	0.96090624		0.848986108		0.361825514			9102.824218738	0.071902102		0.0740885		
24.8989385	1.6426205	3.781141688	0.083624911	1.536968997		24.8989385	0.960870743		0.848935497		0.360990227			9103.788500965	0.071883451		0.074103226		
24.8690836	1.6426483	3.781186057	0.083545735	1.587821913		24.8690836	0.96095044		0.848981086		0.359938944			9104.752783191	0.071864969		0.074118098		
24.8393003	1.6427033	3.781230056	0.083632691	1.611626758		24.8393003	0.960838837		0.848952961		0.358667876			9105.717065418	0.071846669		0.074133054		
24.8095882	1.642697	3.78127374	0.08367656	1.649372937		24.8095882	0.960834321		0.848786749		0.357337716			9106.681347644	0.071828562		0.074147999		
24.7799471	1.6427027	3.781317111	0.083716171	1.681256728		24.7799471	0.960843893		0.8485341		0.356146091			9107.645629871	0.071810637		0.074162859		
24.7503768	1.6426991	3.781360104	0.083769645	1.696828041		24.7503768	0.960811907		0.848258217		0.355194633			9108.609912097	0.071792858		0.07417761		
24.7208769	1.6427051	3.781402671	0.08378863	1.708151697		24.7208769	0.960807692		0.847960195		0.35448061			9109.574194324	0.071775176		0.074192294		
24.6914473	1.6427364	3.781444861	0.083836643	1.701298037		24.6914473	0.960752086		0.847612413		0.353964217			9110.538476551	0.071757539		0.07420698		
24.6620877	1.6427457	3.781486764	0.083915401	1.679152106		24.6620877	0.960649269		0.847215986		0.353584914			9111.502758777	0.071739909		0.074221712		
24.6327978	1.642739	3.781528429	0.083966311	1.662444512		24.6327978	0.960540931		0.846778292		0.353220762			9112.467041004	0.071722285		0.074236473		
24.6035774	1.6427471	3.78156985	0.084010949	1.656321699		24.6035774	0.960464399		0.846245183		0.352699881			9113.43132323	0.0717047		0.074251202		
24.5744263	1.6427823	3.781611023	0.084058823	1.664553147		24.5744263	0.960394093		0.845519068		0.351899927			9114.395605457	0.071687218		0.07426583		
24.5453441	1.6428213	3.781651931	0.084160972	1.674322008		24.5453441	0.96028644		0.844586254		0.350832574			9115.359887683	0.0716699		0.074280327		
24.5163307	1.6428332	3.781692576	0.084285841	1.686716909		24.5163307	0.960164167		0.843611071		0.349621516			9116.32416991	0.071652771		0.074294705		
24.4873858	1.6428136	3.781732947	0.084435069	1.693453756		24.4873858	0.96002385		0.842863195		0.348412657			9117.288452137	0.071635792		0.074308996		
24.4585091	1.6427189	3.781773007	0.084611115	1.687848827		24.4585091	0.959903741		0.842532748		0.34731649			9118.252734363	0.071618864		0.074323209		
24.4297005	1.6425442	3.781812694	0.084717237	1.689757423		24.4297005	0.959910082		0.842617717		0.34641386			9119.21701659	0.071601859		0.074337316		
24.4009597	1.6423513	3.781851992	0.084724798	1.701300818		24.4009597	0.959921253		0.842978648		0.345764339			9120.181298816	0.071584664		0.074351278		
24.3722864	1.6422269	3.781890964	0.084634404	1.720793833		24.3722864	0.959941489		0.843470775		0.345375103			9121.145581043	0.071567227		0.074365074		
24.3436805	1.6421268	3.781929685	0.084592332	1.72030481		24.3436805	0.959974938		0.84401132		0.345177823			9122.109863269	0.07154957		0.074378728		
24.3151416	1.6420769	3.781968191	0.084424228	1.740208486		24.3151416	0.95994085		0.844547843		0.345063557			9123.074145496	0.071531791		0.074392297		
24.2866695	1.6421186	3.782006435	0.084327253	1.744338312		24.2866695	0.959823743		0.845011752		0.34494687			9124.038427722	0.071514024		0.074405847		
24.258264	1.6421908	3.782044354	0.084241012	1.750615536		24.258264	0.959737532		0.845328581		0.344785077			9125.002709949	0.071496406		0.074419425		
24.229925	1.6422873	3.782081938	0.084205885	1.750171756		24.229925	0.959638884		0.845459024		0.344536176			9125.966992176	0.071479038		0.07443306		
24.201652	1.6424175	3.782119259	0.084181038	1.755073371		24.201652	0.95959471		0.845405805		0.344134733			9126.931274402	0.071461958		0.07444677		
24.1734449	1.6425327	3.782156454	0.084270974	1.743606389		24.1734449	0.959451875		0.845185577		0.34353919			9127.895556629	0.071445142		0.074460578		
24.1453036	1.6426061	3.782193653	0.084342096	1.743608138		24.1453036	0.959395044		0.844821929		0.342790238			9128.859838855	0.071428514		0.074474507		
24.1172276	1.6426439	3.782230885	0.084467601	1.733383333		24.1172276	0.959286339		0.844376208		0.341996471			9129.824121082	0.071411971		0.074488557		
24.0892169	1.6426173	3.782268031	0.084557776	1.728556238		24.0892169	0.959213769		0.843964143		0.341255679			9130.788403308	0.071395416		0.074502704		
24.0612712	1.6425815	3.782304911	0.08458759	1.733733378		24.0612712	0.959175727		0.843710214		0.340601713			9131.752685535	0.071378792		0.074516895		
24.0333902	1.6425629	3.782341409	0.084584935	1.743320914		24.0333902	0.959118745		0.843663464		0.340025272			9132.716967762	0.071362097		0.074531073		
24.0055738	1.6426075	3.782377474	0.084529405	1.762463564		24.0055738	0.959095044		0.843751256		0.339511908			9133.681249988	0.071345394		0.074545195		
23.9778217	1.6427379	3.782413191	0.084532042	1.766631878		23.9778217	0.958986339		0.843817897		0.339039009			9134.645532215	0.071328777		0.074559238		
23.9501337	1.6428331	3.782448689	0.084661444	1.743496048		23.9501337	0.958737687		0.843714877		0.338558912			9135.609814441	0.071312339		0.074573201		
23.9225095	1.6428644	3.782483992	0.084753091	1.728295639		23.9225095	0.958619389		0.843367709		0.338022615			9136.574096668	0.071296127		0.074587085		
23.894949	1.6428469	3.782519096	0.084853298	1.710990854		23.894949	0.958560685		0.842785527		0.337427555			9137.538378894	0.071280129		0.074600895		
23.867452	1.6429415	3.782554019	0.084792167	1.729189635		23.867452	0.958789418		0.842037714		0.336819802			9138.502661121	0.071264293		0.074614629		
23.8400181	1.6429748	3.782588797	0.085065085	1.672775583		23.8400181	0.958533881		0.841231405		0.33624095			9139.466943347	0.071248557		0.074628283		
23.8126473	1.6429464	3.782623506	0.085015189	1.692072438		23.8126473	0.958737687		0.840488206		0.335692352			9140.431225574	0.071232882		0.074641852		
23.7853392	1.6429953	3.782658224	0.085149806	1.66661312		23.7853392	0.958619389		0.839906135		0.33516231			9141.395507801	0.071217262		0.074655339		
23.7580937	1.6429788	3.782692991	0.085204599	1.658432687		23.7580937	0.958560685		0.839521959		0.334666922			9142.359790027	0.071201694		0.074668758		
