Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/54"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
544.9213671	1.499878281		-0.007009661			544.9213671	-0.00068		
545.0418983	1.501108271		-0.008717278			545.0418983	-0.000963001		
545.1624294	1.502821814		-0.00998018			545.1624294	-0.001168		
545.2829606	1.504881597		-0.01066623			545.2829606	-0.001273		
545.4034918	1.507120734		-0.010667184			545.4034918	-0.001259999		
545.5240229	1.509313607		-0.009914239			545.5240229	-0.001117998		
545.6445541	1.511196709		-0.008412282			545.6445541	-0.000849		
545.7650852	1.512484573		-0.006279511			545.7650852	-0.000474999		
545.8856164	1.512942598		-0.003755266			545.8856164	-3.8999E-5		
546.0061476	1.51244032		-0.001191605			546.0061476	0.000397002		
546.1266787	1.511017506		0.001028475			546.1266787	0.000767002		
546.2472099	1.50887605		0.002546768			546.2472099	0.001011001		
546.3677411	1.506375939		0.003152114			546.3677411	0.001096		
546.4882722	1.503901295		0.002800317			546.4882722	0.001018		
546.6088034	1.501827628		0.001624822			546.6088034	0.000802999		
546.7293346	1.500393337		-0.000102683			546.7293346	0.000498998		
546.8498657	1.499688376		-0.002066465			546.8498657	0.000159998		
546.9703969	1.499659942		-0.00399144			546.9703969	-0.000168002		
547.0909281	1.500168926		-0.005670754			547.0909281	-0.000451		
547.2114592	1.501036463		-0.007026826			547.2114592	-0.000677		
547.3319904	1.502137595		-0.008032075			547.3319904	-0.000842		
547.4525215	1.503359901		-0.008712624			547.4525215	-0.000951		
547.5730527	1.504664181		-0.009079786			547.5730527	-0.001006		
547.6935839	1.505987722		-0.009132363			547.6935839	-0.001007		
547.814115	1.507280774		-0.008852071			547.814115	-0.000951		
547.9346462	1.508436984		-0.00824169			547.9346462	-0.000839		
548.0551774	1.509361282		-0.007333054			548.0551774	-0.000676999		
548.1757085	1.509931746		-0.006226115			548.1757085	-0.000482999		
548.2962397	1.510117095		-0.005064352			548.2962397	-0.000281999		
