Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"Ar:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/279"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.29979	1.52041	0.00384		0.44603	0.002029	0.000419	
1.29826	1.52042	0.00384		0.44528	0.002062	0.000418	
1.29673	1.52043	0.00384		0.44453	0.002096	0.000416	
1.2952	1.52045	0.00384		0.44378	0.002129	0.000414	
1.29367	1.52046	0.00384		0.44304	0.002163	0.000412	
1.29214	1.52047	0.00384		0.44229	0.002198	0.000411	
1.29061	1.52048	0.00384		0.44154	0.002232	0.000409	
1.28908	1.52049	0.00384		0.44079	0.002268	0.000407	
1.28754	1.5205	0.00384		0.44004	0.002303	0.000405	
1.28601	1.52051	0.00384		0.43929	0.002339	0.000403	
1.28448	1.52052	0.00384		0.43854	0.002376	0.000401	
1.28295	1.52053	0.00384		0.43779	0.002412	0.000399	
1.28141	1.52054	0.00384		0.43704	0.002449	0.000397	
1.27988	1.52055	0.00384		0.43629	0.002487	0.000394	
1.27835	1.52056	0.00384		0.43554	0.002525	0.000392	
1.27681	1.52057	0.00384		0.43479	0.002563	0.00039	
1.27528	1.52058	0.00384		0.43404	0.002602	0.000388	
1.27375	1.52059	0.00384		0.43329	0.002641	0.000385	
1.27221	1.5206	0.00384		0.43254	0.002681	0.000383	
1.27068	1.52061	0.00384		0.43179	0.002721	0.000381	
1.26914	1.52063	0.00384		0.43104	0.002761	0.000379	
1.26761	1.52064	0.00383		0.43029	0.002802	0.000376	
1.26607	1.52065	0.00383		0.42953	0.002843	0.000374	
1.26453	1.52066	0.00383		0.42878	0.002885	0.000372	
1.263	1.52067	0.00383		0.42803	0.002927	0.00037	
1.26146	1.52068	0.00383		0.42728	0.002969	0.000367	
1.25992	1.52069	0.00383		0.42653	0.003012	0.000365	
1.25839	1.52071	0.00383		0.42578	0.003056	0.000363	
1.25685	1.52072	0.00383		0.42503	0.0031	0.000361	
1.25531	1.52073	0.00383		0.42428	0.003144	0.000359	
1.25377	1.52074	0.00383		0.42352	0.003189	0.000357	
1.25224	1.52075	0.00383		0.42277	0.003234	0.000355	
1.2507	1.52076	0.00384		0.42202	0.00328	0.000354	
1.24916	1.52078	0.00383		0.42127	0.003326	0.000352	
1.24762	1.52079	0.00383		0.42052	0.003372	0.000351	
1.24608	1.5208	0.00383		0.41977	0.003419	0.000349	
1.24454	1.52081	0.00383		0.41901	0.003467	0.000348	
1.243	1.52082	0.00383		0.41826	0.003515	0.000347	
1.24146	1.52083	0.00383		0.41751	0.003564	0.000346	
1.23992	1.52084	0.00383		0.41676	0.003613	0.000345	
1.23838	1.52085	0.00383		0.41601	0.003662	0.000345	
1.23684	1.52086	0.00383		0.41525	0.003712	0.000344	
1.2353	1.52088	0.00383		0.4145	0.003763	0.000344	
1.23375	1.52089	0.00383		0.41375	0.003814	0.000344	
1.23221	1.5209	0.00383		0.413	0.003865	0.000345	
1.23067	1.52091	0.00383		0.41224	0.003917	0.000345	
1.22913	1.52093	0.00383		0.41149	0.00397	0.000346	
1.22758	1.52094	0.00383		0.41074	0.004023	0.000347	
1.22604	1.52095	0.00383		0.40998	0.004076	0.000349	
1.2245	1.52096	0.00383		0.40923	0.00413	0.00035	
1.22295	1.52098	0.00383		0.40848	0.004185	0.000352	
1.22141	1.52099	0.00383		0.40772	0.00424	0.000355	
1.21987	1.521	0.00383		0.40697	0.004296	0.000357	
1.21832	1.52101	0.00383		0.40622	0.004352	0.000361	
1.21678	1.52103	0.00383		0.40546	0.004409	0.000364	
1.21523	1.52104	0.00382		0.40471	0.004466	0.000368	
1.21369	1.52105	0.00383		0.40396	0.004524	0.000372	
1.21214	1.52106	0.00383		0.4032	0.004582	0.000377	
1.2106	1.52108	0.00383		0.40245	0.004641	0.000381	
1.20905	1.52109	0.00383		0.40169	0.004701	0.000387	
1.2075	1.5211	0.00382		0.40094	0.004761	0.000393	
1.20596	1.52111	0.00382		0.40019	0.004822	0.000399	
1.20441	1.52113	0.00382					
1.20286	1.52114	0.00382					
1.20131	1.52115	0.00383					
1.19977	1.52117	0.00382					
1.19822	1.52118	0.00382					
1.19667	1.52119	0.00382					
1.19512	1.52121	0.00382					
1.19357	1.52122	0.00382					
