Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/70"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
2417.6141	0.00125		-0.00147		0.00637		0.00948		0.01489		
2417.7346	0.00125		-0.00147		0.00636		0.00948		0.01489		
2417.8551	0.00124		-0.00147		0.00635		0.00948		0.01489		
2417.9757	0.00123		-0.00148		0.00635		0.00949		0.01489		
2418.0962	0.00122		-0.00148		0.00636		0.0095		0.01489		
2418.2167	0.00122		-0.00148		0.00637		0.00951		0.01489		
2418.3372	0.00122		-0.00148		0.00638		0.00953		0.01489		
2418.4578	0.00122		-0.00148		0.00639		0.00954		0.01488		
2418.5783	0.00122		-0.00149		0.0064		0.00956		0.01487		
2418.6988	0.00122		-0.00149		0.0064		0.00958		0.01486		
2418.8194	0.00122		-0.0015		0.00639		0.00959		0.01486		
2418.9399	0.00121		-0.00151		0.00638		0.0096		0.01486		
2419.0604	0.0012		-0.00152		0.00637		0.0096		0.01487		
2419.181	0.00119		-0.00152		0.00637		0.00959		0.01489		
2419.3015	0.00119		-0.00152		0.00638		0.00959		0.01492		
2419.422	0.00119		-0.00152		0.0064		0.00958		0.01494		
2419.5426	0.0012		-0.00151		0.00641		0.00957		0.01495		
2419.6631	0.0012		-0.00152		0.00643		0.00957		0.01495		
2419.7836	0.0012		-0.00152		0.00644		0.00956		0.01495		
2419.9042	0.00121		-0.00152		0.00644		0.00955		0.01493		
2420.0247	0.00121		-0.00153		0.00644		0.00955		0.01492		
2420.1452	0.00122		-0.00153		0.00644		0.00955		0.01492		
2420.2657	0.00123		-0.00154		0.00644		0.00955		0.01492		
2420.3863	0.00124		-0.00154		0.00645		0.00956		0.01492		
2420.5068	0.00125		-0.00154		0.00645		0.00956		0.01494		
2420.6273	0.00126		-0.00153		0.00645		0.00957		0.01495		
2420.7479	0.00127		-0.00153		0.00646		0.00958		0.01496		
2420.8684	0.00128		-0.00152		0.00646		0.00959		0.01497		
2420.9889	0.00128		-0.0015		0.00647		0.00961		0.01498		
2421.1095	0.00129		-0.00148		0.00648		0.00963		0.01499		
2421.23	0.0013		-0.00146		0.00649		0.00966		0.01501		
2421.3505	0.00131		-0.00144		0.00651		0.00968		0.01504		
2421.4711	0.00132		-0.00143		0.00653		0.00971		0.01506		
2421.5916	0.00133		-0.00142		0.00654		0.00973		0.01508		
2421.7121	0.00133		-0.00142		0.00656		0.00974		0.0151		
2421.8326	0.00132		-0.00143		0.00657		0.00975		0.01512		
2421.9532	0.00131		-0.00145		0.00657		0.00976		0.01513		
2422.0737	0.0013		-0.00146		0.00658		0.00976		0.01514		
2422.1942	0.0013		-0.00146		0.00658		0.00976		0.01515		
2422.3148	0.0013		-0.00146		0.00658		0.00977		0.01516		
2422.4353	0.00132		-0.00144		0.00659		0.00978		0.01516		
2422.5558	0.00134		-0.00142		0.00659		0.00979		0.01516		
2422.6764	0.00136		-0.0014		0.00659		0.0098		0.01515		
2422.7969	0.00137		-0.00138		0.00659		0.00981		0.01514		
2422.9174	0.00137		-0.00136		0.00659		0.00982		0.01514		
2423.038	0.00136		-0.00136		0.00659		0.00982		0.01514		
2423.1585	0.00135		-0.00136		0.00659		0.00983		0.01514		
2423.279	0.00133		-0.00137		0.0066		0.00982		0.01515		
2423.3996	0.00132		-0.00138		0.0066		0.00981		0.01517		
2423.5201	0.0013		-0.0014		0.0066		0.0098		0.01518		
2423.6406	0.00129		-0.00142		0.0066		0.00979		0.01519		
2423.7611	0.00128		-0.00145		0.0066		0.00977		0.01519		
2423.8817	0.00127		-0.00147		0.00659		0.00976		0.0152		
2424.0022	0.00125		-0.00149		0.00659		0.00976		0.0152		
2424.1227	0.00124		-0.0015		0.00658		0.00977		0.01521		
2424.2433	0.00123		-0.0015		0.00659		0.00979		0.01522		
2424.3638	0.00122		-0.0015		0.00659		0.00982		0.01524		
2424.4843	0.00121		-0.00149		0.0066		0.00985		0.01525		
2424.6049	0.00121		-0.00147		0.0066		0.00988		0.01525		
2424.7254	0.00122		-0.00146		0.0066		0.00989		0.01524		
2424.8459	0.00122		-0.00145		0.0066		0.0099		0.01523		
2424.9665	0.00123		-0.00145		0.0066		0.0099		0.01521		
2425.087	0.00124		-0.00144		0.00659		0.00989		0.0152		
2425.2075	0.00126		-0.00144		0.0066		0.00989		0.0152		
2425.3281	0.00127		-0.00143		0.00661		0.00988		0.01521		
2425.4486	0.00129		-0.00142		0.00662		0.00989		0.01523		
2425.5691	0.00131		-0.00141		0.00664		0.0099		0.01525		
2425.6896	0.00132		-0.0014		0.00666		0.00991		0.01528		
2425.8102	0.00133		-0.00141		0.00666		0.00993		0.01529		
2425.9307	0.00132		-0.00142		0.00666		0.00993		0.0153		
2426.0512	0.0013		-0.00144		0.00665		0.00993		0.0153		
2426.1718	0.00127		-0.00146		0.00663		0.00993		0.01529		
2426.2923	0.00125		-0.00148		0.00661		0.00992		0.01529		
2426.4128	0.00123		-0.0015		0.00659		0.00991		0.01529		
2426.5334	0.00121		-0.00151		0.00658		0.00991		0.0153		
2426.6539	0.00121		-0.00151		0.00657		0.00992		0.01531		
2426.7744	0.00121		-0.00151		0.00657		0.00993		0.01533		
2426.895	0.00121		-0.00151		0.00658		0.00995		0.01534		
2427.0155	0.0012		-0.0015		0.00659		0.00997		0.01535		
2427.136	0.0012		-0.00149		0.00661		0.00999		0.01536		
2427.2566	0.0012		-0.00148		0.00663		0.01001		0.01538		
2427.3771	0.0012		-0.00146		0.00666		0.01002		0.0154		
2427.4976	0.00121		-0.00144		0.0067		0.01004		0.01542		
2427.6181	0.00123		-0.00142		0.00673		0.01005		0.01544		
2427.7387	0.00125		-0.0014		0.00677		0.01007		0.01545		
