Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/56"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
522.15	1.602364121		0.102139369			522.15	0.000930578		
522.2	1.609711776		0.117827138			522.2	0.001077998		
522.25	1.605749707		0.142360228			522.25	0.001298204		
522.3	1.58277136		0.160524964			522.3	0.001441834		
522.35	1.556493605		0.158623485			522.35	0.001400739		
522.4	1.543755696		0.145594688			522.4	0.001275361		
522.45	1.545377999		0.14002051			522.45	0.001228102		
522.5	1.54099689		0.150264764			522.5	0.001313992		
522.55	1.519124244		0.155544466			522.55	0.001340471		
522.6	1.496359333		0.144349956			522.6	0.00122533		
522.65	1.483579965		0.123738044			522.65	0.001041645		
522.7	1.484668826		0.104112332			522.7	0.000877485		
522.75	1.491199477		0.096163234			522.75	0.000814367		
522.8	1.492295684		0.097347576			522.8	0.000825072		
522.85	1.480404624		0.10222153			522.85	0.000859285		
522.9	1.451666065		0.092252954			522.9	0.000760298		
522.95	1.430826971		0.052197263			522.95	0.000424286		
523	1.442860525		0.004019704			523	3.3708E-5		
523.05	1.47681934		-0.024429106			523.05	-0.000203488		
523.1	1.51089037		-0.030687526			523.1	-0.000261334		
523.15	1.533529627		-0.025926699			523.15	-0.000223405		
523.2	1.548149802		-0.023694118			523.2	-0.000205637		
523.25	1.565218152		-0.021570475			523.25	-0.000188682		
523.3	1.579198568		-0.01365401			523.3	-0.000119073		
523.35	1.587609825		-0.007256957			523.35	-6.1845E-5		
523.4	1.59565896		-0.0043256			523.4	-3.5403E-5		
523.45	1.608454117		-0.003742234			523.45	-3.0031E-5		
523.5	1.627908888		0.004571413			523.5	4.7E-5		
523.55	1.641875517		0.023682665			523.55	0.000226006		
523.6	1.646964226		0.045691918			523.6	0.000432692		
523.65	1.642661269		0.067255815			523.65	0.000632558		
523.7	1.631295222		0.081624547			523.7	0.000760958		
523.75	1.619088758		0.089412845			523.75	0.000826571		
523.8	1.605845608		0.090470029			523.8	0.000829177		
523.85	1.599323593		0.081986406			523.85	0.000748696		
523.9	1.607214935		0.076244926			523.9	0.000700265		
